Order ID,Order Date,Customer ID,Product ID,Quantity
MGC-58655-176,2024-09-01,16196-71172-YV,PF-000-J-20,2
KNL-08027-562,2024-07-31,12683-56495-ZZ,ST-025-M-16,3
KNL-08027-562,2024-07-31,12683-56495-ZZ,PF-025-M-24,1
KNL-08027-562,2024-07-31,12683-56495-ZZ,PF-025-W-20,1
KNL-08027-562,2024-07-31,12683-56495-ZZ,PF-050-W-16,3
KNL-08027-562,2024-07-31,12683-56495-ZZ,BS-075-J-24,2
JIO-54582-938,2024-03-30,07139-43072-LU,MA-025-P-20,1
SSO-86877-012,2024-01-31,14537-11315-LR,MA-050-P-20,5
VWO-00412-654,2024-05-02,01133-75855-UQ,MA-000-M-16,1
VWO-00412-654,2024-05-02,01133-75855-UQ,ST-025-W-20,4
VWO-00412-654,2024-05-02,01133-75855-UQ,PF-075-C-16,3
VWO-00412-654,2024-05-02,01133-75855-UQ,PF-075-P-20,2
NQA-26798-925,2024-03-24,70210-44111-OZ,CL-100-W-16,1
NQA-26798-925,2024-03-24,70210-44111-OZ,MN-075-W-20,3
NQA-26798-925,2024-03-24,70210-44111-OZ,MN-000-J-24,5
KWJ-95038-062,2024-08-10,99564-82812-UF,MN-025-P-24,2
KWJ-95038-062,2024-08-10,99564-82812-UF,PF-075-P-16,2
KWJ-95038-062,2024-08-10,99564-82812-UF,TR-075-W-24,1
VBJ-66119-827,2024-02-16,98165-88301-CY,MN-050-M-20,1
VBJ-66119-827,2024-02-16,98165-88301-CY,BS-000-M-24,1
VBJ-66119-827,2024-02-16,98165-88301-CY,TR-050-P-20,5
VBJ-66119-827,2024-02-16,98165-88301-CY,PF-025-J-20,3
VBJ-66119-827,2024-02-16,98165-88301-CY,MN-075-W-16,4
TYD-17130-962,2024-04-19,14756-80566-JI,MA-100-P-20,1
TYD-17130-962,2024-04-19,14756-80566-JI,CL-000-C-24,2
TYD-17130-962,2024-04-19,14756-80566-JI,ST-100-J-20,5
ITH-37492-721,2024-05-28,19203-48141-PC,ST-000-M-24,1
ITH-37492-721,2024-05-28,19203-48141-PC,BS-050-M-20,4
ITH-37492-721,2024-05-28,19203-48141-PC,MA-000-M-24,2
CLQ-56240-026,2024-09-24,89661-91451-XC,MA-075-J-24,3
PZI-75214-230,2024-04-30,79933-84892-VY,TR-050-P-20,4
QKB-21848-086,2024-02-08,09671-19109-CC,MA-100-W-20,4
QKB-21848-086,2024-02-08,09671-19109-CC,CL-000-W-24,2
QKB-21848-086,2024-02-08,09671-19109-CC,ST-025-J-16,2
QKB-21848-086,2024-02-08,09671-19109-CC,ST-025-W-24,4
QKB-21848-086,2024-02-08,09671-19109-CC,ST-075-M-20,1
PHM-61471-024,2024-07-30,75482-41618-FK,CL-100-M-20,5
PHM-61471-024,2024-07-30,75482-41618-FK,PF-025-C-20,1
PHM-61471-024,2024-07-30,75482-41618-FK,TR-100-C-16,4
PHM-61471-024,2024-07-30,75482-41618-FK,PF-050-J-20,2
PHM-61471-024,2024-07-30,75482-41618-FK,CL-000-J-16,3
QNB-74483-106,2024-06-10,39802-66176-DR,MA-000-J-24,3
MHY-61290-565,2024-01-28,35006-31699-YA,MN-075-M-16,5
MHY-61290-565,2024-01-28,35006-31699-YA,TR-075-W-20,1
HQO-64636-830,2024-09-25,41821-55838-RN,TR-100-M-20,4
HQO-64636-830,2024-09-25,41821-55838-RN,BS-050-P-16,2
HQO-64636-830,2024-09-25,41821-55838-RN,ST-000-M-20,1
HQO-64636-830,2024-09-25,41821-55838-RN,MN-000-W-20,2
EST-22186-080,2024-10-21,97326-83120-QJ,TR-100-W-24,2
EST-22186-080,2024-10-21,97326-83120-QJ,MA-050-W-16,2
EST-22186-080,2024-10-21,97326-83120-QJ,ST-075-C-24,1
EST-22186-080,2024-10-21,97326-83120-QJ,PF-025-J-24,2
UWZ-81476-661,2024-08-19,94882-14015-ZK,PF-100-M-16,4
UWZ-81476-661,2024-08-19,94882-14015-ZK,PF-025-C-20,3
UWZ-81476-661,2024-08-19,94882-14015-ZK,PF-100-C-20,1
UWZ-81476-661,2024-08-19,94882-14015-ZK,MN-100-J-16,3
UWZ-81476-661,2024-08-19,94882-14015-ZK,PF-100-P-16,4
COO-06361-658,2024-09-22,84578-25413-YX,PF-100-C-20,1
YLM-82422-888,2024-02-19,44651-23023-PJ,PF-025-J-20,3
ELG-27982-573,2024-07-21,84578-25413-YX,ST-000-W-20,5
ELG-27982-573,2024-07-21,84578-25413-YX,MN-100-W-24,5
ELG-27982-573,2024-07-21,84578-25413-YX,MN-100-W-16,3
ELG-27982-573,2024-07-21,84578-25413-YX,TR-100-C-16,1
ELG-27982-573,2024-07-21,84578-25413-YX,TR-000-J-24,3
AUE-20941-233,2024-09-21,97553-00355-QO,CL-100-J-16,2
AUE-20941-233,2024-09-21,97553-00355-QO,ST-075-P-16,4
ONF-09011-564,2024-07-04,45542-29640-YZ,PF-000-P-20,3
OAM-19428-444,2024-04-18,01255-60519-LW,ST-075-P-16,5
VOZ-95415-367,2023-12-04,89571-64740-ZB,TR-025-P-16,1
BAA-57093-289,2024-04-04,95921-44978-PX,CL-050-P-16,1
BAA-57093-289,2024-04-04,95921-44978-PX,MA-025-M-24,1
BAA-57093-289,2024-04-04,95921-44978-PX,TR-075-J-24,2
KYD-71267-185,2024-06-07,53183-65253-MT,CL-050-C-24,1
KYD-71267-185,2024-06-07,53183-65253-MT,BS-075-P-24,3
KYD-71267-185,2024-06-07,53183-65253-MT,PF-025-P-24,1
KYD-71267-185,2024-06-07,53183-65253-MT,CL-050-P-20,1
UHG-73404-592,2024-09-26,62281-23793-PU,ST-050-J-16,4
UHG-73404-592,2024-09-26,62281-23793-PU,ST-000-P-24,3
UHG-73404-592,2024-09-26,62281-23793-PU,BS-075-W-16,2
UHG-73404-592,2024-09-26,62281-23793-PU,BS-075-P-24,2
WZY-80159-172,2024-10-15,22159-23577-WN,MA-050-P-16,5
WZY-80159-172,2024-10-15,22159-23577-WN,MN-075-P-24,1
WZY-80159-172,2024-10-15,22159-23577-WN,TR-000-W-20,1
WZY-80159-172,2024-10-15,22159-23577-WN,MA-050-J-16,5
UUD-73507-330,2024-04-20,24422-69716-KL,TR-075-J-24,1
UUD-73507-330,2024-04-20,24422-69716-KL,BS-075-J-16,1
UUD-73507-330,2024-04-20,24422-69716-KL,CL-025-J-20,5
UUD-73507-330,2024-04-20,24422-69716-KL,BS-025-J-16,3
ZGQ-41151-653,2024-09-08,49663-14711-LM,MA-050-W-16,2
ZGQ-41151-653,2024-09-08,49663-14711-LM,ST-075-C-24,4
ZGQ-41151-653,2024-09-08,49663-14711-LM,BS-025-M-20,4
ZGQ-41151-653,2024-09-08,49663-14711-LM,PF-025-M-16,4
ZGQ-41151-653,2024-09-08,49663-14711-LM,TR-025-P-20,3
RIR-64584-360,2024-02-01,33916-80508-RU,PF-100-J-24,1
RIR-64584-360,2024-02-01,33916-80508-RU,ST-000-J-24,3
RIR-64584-360,2024-02-01,33916-80508-RU,ST-000-C-20,3
RIR-64584-360,2024-02-01,33916-80508-RU,TR-000-M-24,2
RIR-64584-360,2024-02-01,33916-80508-RU,MN-050-W-16,2
LEC-19610-821,2024-08-17,00609-93409-FB,MN-050-C-16,4
LEC-19610-821,2024-08-17,00609-93409-FB,BS-000-P-20,5
JDF-81446-169,2024-05-16,77963-87513-NE,MN-025-W-24,2
JDF-81446-169,2024-05-16,77963-87513-NE,BS-100-C-16,1
JDF-81446-169,2024-05-16,77963-87513-NE,PF-000-J-20,4
JDF-81446-169,2024-05-16,77963-87513-NE,BS-075-W-24,1
JDF-81446-169,2024-05-16,77963-87513-NE,MA-025-P-16,2
OCX-35035-177,2023-11-03,08810-46768-CO,MN-000-W-20,4
OCX-35035-177,2023-11-03,08810-46768-CO,CL-075-M-24,2
MUZ-87358-408,2024-07-17,33196-61838-MN,ST-025-M-16,1
ICS-22276-431,2024-03-22,43160-16827-YL,BS-025-P-16,4
ICS-22276-431,2024-03-22,43160-16827-YL,TR-100-J-20,3
ICS-22276-431,2024-03-22,43160-16827-YL,MN-025-C-24,2
ICS-22276-431,2024-03-22,43160-16827-YL,ST-050-W-20,3
ICS-22276-431,2024-03-22,43160-16827-YL,MA-075-J-24,1
DTL-84766-557,2024-08-25,84785-84453-UZ,BS-000-C-20,1
DTL-84766-557,2024-08-25,84785-84453-UZ,TR-025-P-16,2
DTL-84766-557,2024-08-25,84785-84453-UZ,MA-025-W-16,1
DTL-84766-557,2024-08-25,84785-84453-UZ,CL-025-C-20,3
DTL-84766-557,2024-08-25,84785-84453-UZ,TR-050-P-16,3
URF-19790-309,2024-06-28,08776-47599-IP,MN-050-C-24,1
CHM-80558-346,2023-10-29,15796-97597-ZK,MN-100-M-24,3
CHM-80558-346,2023-10-29,15796-97597-ZK,MA-000-C-20,5
CHM-80558-346,2023-10-29,15796-97597-ZK,ST-025-C-16,1
CHM-80558-346,2023-10-29,15796-97597-ZK,CL-050-P-20,4
KED-53113-793,2024-04-26,96157-13002-BC,TR-100-C-24,2
KED-53113-793,2024-04-26,96157-13002-BC,CL-075-C-24,5
KED-53113-793,2024-04-26,96157-13002-BC,BS-025-W-20,4
KED-53113-793,2024-04-26,96157-13002-BC,ST-100-P-24,3
OBZ-04860-771,2024-09-09,47793-61534-LX,ST-050-M-20,1
SCX-16931-952,2024-01-26,21874-73394-BZ,BS-050-J-24,3
SCX-16931-952,2024-01-26,21874-73394-BZ,PF-025-C-20,2
OZV-83404-204,2024-02-24,60196-78006-NG,MN-000-P-24,2
OZV-83404-204,2024-02-24,60196-78006-NG,PF-075-J-20,2
OZV-83404-204,2024-02-24,60196-78006-NG,MN-025-W-20,1
YRP-03488-826,2024-09-10,52263-02943-BY,PF-100-P-20,5
YRP-03488-826,2024-09-10,52263-02943-BY,ST-075-M-20,2
YRP-03488-826,2024-09-10,52263-02943-BY,BS-100-P-20,1
YRP-03488-826,2024-09-10,52263-02943-BY,BS-100-W-20,2
YRP-03488-826,2024-09-10,52263-02943-BY,PF-075-M-24,5
OXU-10330-859,2024-01-06,13340-31854-RJ,ST-000-W-20,5
SZF-79259-566,2024-05-23,61847-38030-SZ,CL-025-J-20,1
SZF-79259-566,2024-05-23,61847-38030-SZ,ST-100-W-20,4
SZF-79259-566,2024-05-23,61847-38030-SZ,TR-025-M-24,5
GHH-48485-310,2024-01-24,42297-07948-PR,MN-000-P-16,3
GHH-48485-310,2024-01-24,42297-07948-PR,ST-000-M-16,2
GHH-48485-310,2024-01-24,42297-07948-PR,TR-050-P-20,4
GHH-48485-310,2024-01-24,42297-07948-PR,CL-100-M-20,3
VRI-35633-692,2024-10-16,58038-68709-AQ,MA-000-M-20,2
DOY-07338-825,2024-08-17,69489-00269-NR,CL-100-C-16,3
DOY-07338-825,2024-08-17,69489-00269-NR,BS-100-J-20,4
IKP-92593-676,2024-04-09,64847-26252-GE,BS-075-M-16,4
IKP-92593-676,2024-04-09,64847-26252-GE,MA-075-W-20,5
IKP-92593-676,2024-04-09,64847-26252-GE,MA-075-P-24,2
IKP-92593-676,2024-04-09,64847-26252-GE,BS-025-J-24,1
LEG-53935-090,2023-11-27,44958-57980-PI,TR-075-M-20,2
LEG-53935-090,2023-11-27,44958-57980-PI,TR-000-P-20,2
LEG-53935-090,2023-11-27,44958-57980-PI,BS-025-M-24,3
LEG-53935-090,2023-11-27,44958-57980-PI,BS-025-C-16,4
LEG-53935-090,2023-11-27,44958-57980-PI,BS-050-J-20,5
BMH-36752-089,2024-02-22,01255-60519-LW,MA-000-J-20,3
PKE-26423-501,2024-05-01,64321-33440-GJ,ST-000-P-16,4
PKE-26423-501,2024-05-01,64321-33440-GJ,CL-025-J-24,2
NYI-56012-214,2024-10-03,79119-27290-HC,MN-075-J-24,2
NYI-56012-214,2024-10-03,79119-27290-HC,TR-000-W-16,1
OUF-57825-347,2023-12-07,55801-42164-QL,ST-025-P-24,2
OUF-57825-347,2023-12-07,55801-42164-QL,PF-100-W-16,5
OUF-57825-347,2023-12-07,55801-42164-QL,TR-100-M-16,1
OUF-57825-347,2023-12-07,55801-42164-QL,TR-050-P-24,3
BTT-21963-024,2024-05-17,65372-30248-XI,MA-100-P-24,2
BTT-21963-024,2024-05-17,65372-30248-XI,MN-100-J-24,1
BTT-21963-024,2024-05-17,65372-30248-XI,ST-100-J-16,4
BTT-21963-024,2024-05-17,65372-30248-XI,TR-000-J-20,1
BTT-21963-024,2024-05-17,65372-30248-XI,MN-025-J-24,4
JZK-25200-083,2024-07-12,32118-92457-GP,MA-075-C-16,2
JZK-25200-083,2024-07-12,32118-92457-GP,MN-100-M-24,4
UXU-69333-505,2024-05-15,98025-07003-CA,MA-100-J-24,4
UXU-69333-505,2024-05-15,98025-07003-CA,MN-100-C-24,4
UXU-69333-505,2024-05-15,98025-07003-CA,CL-075-C-24,2
UXU-69333-505,2024-05-15,98025-07003-CA,ST-000-C-16,1
XXP-42366-800,2024-08-21,71160-57721-SM,MN-050-J-24,2
XXP-42366-800,2024-08-21,71160-57721-SM,CL-000-J-20,1
XXP-42366-800,2024-08-21,71160-57721-SM,MN-100-W-16,4
XXP-42366-800,2024-08-21,71160-57721-SM,TR-075-M-24,1
GPF-43643-465,2024-05-13,75689-04211-WS,BS-025-J-24,3
